topic_id,size,share,mean_words,keywords
0,21174,0.2117,113.1,"school, child, teachers, kids, teacher, students, principal, parents, children, don"
1,4398,0.044,30.8,"great, school, great school, love, love school, teachers, school great, amazing, excellent, best"
2,2215,0.0221,91.6,"christian, christian school, school, god, children, education, christ, faith, love, students"
3,2177,0.0218,21.7,"staff, teachers, students, great, caring, care, environment, great teachers, excellent, dedicated"
4,1380,0.0138,120.3,"montessori, montessori school, children, school, child, learning, teachers, environment, years, love"
5,1346,0.0135,89.7,"st, mary, st mary, children, school, catholic, saint, education, family, st john"
6,1278,0.0128,86.7,"pta, pto, school, teachers, great, principal, parents, involved, staff, active"
7,1263,0.0126,76.8,"middle, middle school, school, students, teachers, great, high, good, grade, experience"
8,1042,0.0104,108.0,"spanish, language, immersion, english, program, french, school, dual, bilingual, teachers"
9,839,0.0084,109.3,"ap, sports, college, school, high, high school, classes, students, honors, student"
10,828,0.0083,75.1,"oak, school, oaks, teachers, forest, children, staff, great, love, students"
11,682,0.0068,104.4,"catholic, catholic school, school, children, education, catholic education, faith, students, catholic schools, parents"
12,579,0.0058,107.7,"charter, charter school, school, charter schools, schools, students, year, teachers, child, parents"
13,547,0.0055,75.5,"scores, test, test scores, rating, school, score, schools, low, students, teachers"
14,532,0.0053,100.6,"white, racism, racist, school, black, diversity, students, color, african, american"
15,489,0.0049,24.3,"10, 10 10, rate, school 10, rate experience, rate school, experience, rate 10, school, 10 school"
16,379,0.0038,52.3,"sizes, small, class sizes, class, small class, size, class size, attention, teachers, school"
17,376,0.0038,14.2,"experience, great experience, far, great, excellent, years, love, happy, good, children"
18,339,0.0034,64.0,"band, music, program, music program, band program, school, great, choir, students, teachers"
19,310,0.0031,78.1,"san, school, bay, diego, san diego, students, teachers, best, ocean, community"
20,305,0.0031,77.9,"west, westside, east, school, great, western, students, teachers, westgate, staff"
21,295,0.0029,110.4,"dress, dress code, code, wear, uniforms, uniform, school, wearing, like, don"
22,295,0.0029,59.9,"school, great, kuumba, teachers, went, krystal, kids, daughter, staff, love"
23,286,0.0029,80.7,"gca, bca, children, school, students, gms, rmca, teachers, bcs, family"
25,278,0.0028,42.0,"stars, star, school stars, school, rating, rate, school star, stars school, star rating, teachers"
24,278,0.0028,74.3,"creek, fox, school, willow, teachers, fox creek, great, creek elementary, kids, children"
26,263,0.0026,95.4,"ib, ib program, program, westwood, students, school, international, teachers, high, international baccalaureate"
27,254,0.0025,76.5,"prep, florida, college, college prep, school, preparatory, students, best, high, schools"
28,230,0.0023,94.5,"cca, ccs, school, children, love, teachers, kids, cccs, cchs, years"
29,223,0.0022,35.2,"principal, staff, teachers, students, great, best, mr, students principal, caring, ms"
30,223,0.0022,75.4,"reviews, review, school, negative, positive reviews, negative reviews, bad, star, written, posted"
31,223,0.0022,58.6,"pre, pre program, program, prek, daughter, son, year, school, started pre, teachers"
32,218,0.0022,63.0,"preschool, kindergarten, daughter, year, started kindergarten, started, program, teacher, son, kindergarten year"
33,217,0.0022,41.7,"que, la, los, escuela, en, muy, el, es, mi, esta"
34,212,0.0021,81.8,"lutheran, lutheran school, immanuel, pilgrim, school, faith, christ, grace, grace lutheran, family"
35,211,0.0021,99.4,"covid, pandemic, covid 19, learning, school, 19, virtual, teachers, kids, students"
36,209,0.0021,46.8,"principal, great, love, school, amazing, teachers, great school, staff, love school, school principal"
37,206,0.0021,74.8,"ps, 37, school, teachers, children, principal, staff, great, parents, ps 37"
38,204,0.002,81.1,"olph, olv, ola, children, olg, school, catholic, olmc, education, family"
39,182,0.0018,104.5,"gifted, gifted program, program, child, gifted children, school, students, teachers, gifted students, children"
40,181,0.0018,69.7,"bhs, mhs, students, college, children, school, high, student, teachers, staff"
41,158,0.0016,90.5,"trinity, holy trinity, holy, christian, children, school, trinity christian, trinity school, family, environment"
42,147,0.0015,76.3,"lake, lakeview, lakes, school, lakeshore, students, teachers, triangle lake, staff, triangle"
43,146,0.0015,77.1,"magnet, magnet program, magnet school, program, school, euclid, great, teachers, students, school magnet"
44,146,0.0015,74.6,"valley, valley view, view, school, school valley, students, great, valley prep, valley school, schools"
45,142,0.0014,129.0,"waldorf, waldorf school, waldorf education, education, children, school, child, community, son, curriculum"
46,137,0.0014,43.6,"mrs, teacher, ms, best, grade, amazing, love, teacher mrs, grade teacher, phillips"
47,132,0.0013,59.2,"children, teachers, experience, school, kids, great, years, pleased, staff, child"
48,131,0.0013,110.5,"mandarin, chinese, immersion, program, mandarin immersion, immersion program, language, english, school, learning"
49,129,0.0013,97.5,"paul, st paul, st, paul school, school, children, saint paul, family, environment, education"
50,124,0.0012,92.3,"vista, monte vista, monte, rio vista, rio, loma, school, loma vista, teachers, alta"
51,119,0.0012,84.9,"jpii, children, school, jds, teachers, rca does, jcs, students, staff, rca"
52,110,0.0011,95.1,"joseph, st joseph, st, joe, st joe, joseph school, joes, st joes, school, community"
53,108,0.0011,21.9,"great, best, children, students, school, kids, care, good, teachers, learn"
54,106,0.0011,81.2,"lincoln, lincoln school, school lincoln, school, lincoln elementary, staff, students, education, lincoln high, love"
55,101,0.001,81.5,"ecs, ecds, eca, school, ehs, ecmcs, ec, program, years, ecc"
56,100,0.001,92.6,"franklin, roosevelt, school, teachers, kids, franklin academy, franklin school, benjamin franklin, years, principal"
-1,50798,0.508,74.9,"school, teachers, students, great, children, kids, staff, child, love, year"
