Topic,Words,Frequency,Class
-1,"college, high school, high, students, student",17355,low_fb
0,"bullying, bullied, bully, told, bullies",580,low_fb
1,"caring, staff, great teachers, excellent, excellent teachers",375,low_fb
2,"christian, christian school, christ, bible, god",375,low_fb
3,"clark, montessori, clark montessori, hgt, jcos suited",6,low_fb
4,"great school, excellent school, school great, great, great teachers",263,low_fb
5,"pta, pto, pta meetings, orono, meetings",31,low_fb
6,"middle school, middle, middle high, high school, high",89,low_fb
7,"spanish, language, english, spanish teacher, immersion",88,low_fb
8,"worst school, worst, terrible, horrible, awful",298,low_fb
9,"band, arts, music, dance, music program",364,low_fb
10,"10, 10 10, rate, school 10, rate school",229,low_fb
11,"charter, charter school, charter schools, charter high, raleigh charter",117,low_fb
12,"textbooks mediocre, standard second, washington rigor, year chromebook, confidently walked",7,low_fb
13,"ruskin, mrs elmer, muchin, elmer, aaw",51,low_fb
14,"reviews, review, negative, negative reviews, bad reviews",125,low_fb
15,"principal, new principal, leadership, superintendent, principal school",98,low_fb
16,"racism, white, black, racist, african",247,low_fb
17,"love school, love, yale high, love lenape, wheeler county",46,low_fb
18,"special, special needs, special education, disability, disabilities",100,low_fb
19,"scores, test, test scores, score, state",110,low_fb
20,"catholic, catholic school, catholic high, catholic schools, catholic education",138,low_fb
21,"principal, mr caruthers, mr guida, guida, principal staff",33,low_fb
22,"cca, ccs, cchs, ccc, love cca",91,low_fb
23,"dress, dress code, code, wear, uniform",181,low_fb
24,"gifted, gifted program, gifted kids, gifted students, interlake",31,low_fb
25,"ib, ib program, program, baccalaureate, international baccalaureate",143,low_fb
26,"ap, ap classes, honors, classes, courses",349,low_fb
27,"iep, child iep, ieps, special, ofhs",58,low_fb
28,"rating, 10, rated, ratings, greatschools",75,low_fb
29,"special, special needs, special ed, ed, special education",30,low_fb
30,"graduated, memories, loved, miss, went",128,low_fb
31,"catholic, catholic school, catholic high, catholic education, roncalli",126,low_fb
32,"oak, oakwood, oak park, oak grove, oaks",29,low_fb
33,"en, escuela, que, la, los",33,low_fb
34,"coach, coaches, sports, football, players",318,low_fb
35,"covid, pandemic, covid 19, 19, masks",59,low_fb
36,"creek, boulder creek, creekside, boulder, fox creek",77,low_fb
37,"sizes, class sizes, small class, small, size",61,low_fb
38,"stars, star, school stars, star school, rate",41,low_fb
39,"military, military family, rotc, school military, military families",93,low_fb
40,"opusd, ps, ophs, ipad, phone experienced",4,low_fb
41,"mary, st mary, st, saint mary, sma",17,low_fb
42,"lake, lakeview, lakes, lakewood, lakeland",62,low_fb
43,"pres, pre, beebe, pre program, prek",11,low_fb
44,"12, klahowya, kp, school 12, kelvyn",28,low_fb
45,"west, westview, western, west campus, west platte",80,low_fb
46,"adhd, add adhd, add, hamilton, avella",14,low_fb
47,"steinert, waldorf, jealous, steinert big, teams historically",4,low_fb
48,"parking, bus, parking lot, traffic, car",26,low_fb
49,"olu, olsh, ola, ola high, olph",22,low_fb
50,"magnet, magnet school, magnet program, bps, school magnet",48,low_fb
51,"send, don send, horrible, send kids, pins petition",52,low_fb
52,"worst worst, worst, terrible, horrible, worst experience",69,low_fb
53,"administration, turnover, teacher turnover, bossy upperclassmen, bossy",45,low_fb
54,"paul, st paul, st, saul, paul school",45,low_fb
55,"send, send child, school send, child school, send kids",66,low_fb
56,"office, rude, office staff, desk, school office",22,low_fb
57,"valley, valley view, view, valley high, east valley",58,low_fb
58,"mandarin, chinese, local students, having chinese, mandarin teacher",9,low_fb
59,"french, mesa ridge, offer french, mesa, honors french",11,low_fb
60,"prep, college prep, preparatory, college, prep school",104,low_fb
61,"autism, autistic, questar, son autistic, renselaer",12,low_fb
62,"sports, athletic, great sports, basketball, football",172,low_fb
