feature,importance,std
"topic_26 (ap, ap classes, honors)",0.08482430305793501,0.003120727937223968
"topic_25 (ib, ib program, baccalaureate)",0.06042478298975841,0.0028068717636952887
"topic_4 (great school, excellent school, school great)",0.038671800182993196,0.0007752330776137136
"topic_1 (staff, great teachers, caring)",0.03356013015531299,0.0010246429807825668
"topic_17 (love school, love, school love)",0.02272034983373671,0.001105428215563377
"topic_9 (band, music, arts)",0.021043087499012104,0.00111220659420249
"topic_8 (worst school, worst, horrible)",0.020054760019482774,0.0006290814389682739
"topic_37 (sizes, class sizes, small class)",0.01883191014607257,0.0011448620618925377
"topic_19 (scores, test, test scores)",0.018512829505591955,0.0008933729027161079
"topic_29 (special, special needs, special education)",0.017555284241227497,0.0007000375160476708
"topic_18 (special, special needs, special education)",0.015894833568894907,0.001170926806961767
"topic_6 (middle school, middle, best middle)",0.013714374124760575,0.0011037925125273918
"topic_34 (coach, sports, coaches)",0.012041227930106025,0.0007489394703570396
"topic_28 (rating, ratings, rated)",0.011710570388509912,0.00034847581685077593
"topic_38 (stars, school stars, star)",0.011624676478620134,0.0004444669162257476
"topic_10 (10, 10 10, rate)",0.011235932923438907,0.0004974667632668318
"topic_31 (catholic, catholic school, catholic education)",0.010590009894757235,0.0013614460952864266
"topic_30 (memories, remember, miss)",0.009429734237829234,0.0005652587239429954
"topic_23 (dress, dress code, code)",0.009269672686392994,0.000553299041198742
"topic_24 (gifted, gifted program, gifted students)",0.008908506452893128,0.0009139103538936832
"topic_39 (military, military family, military families)",0.007567790992627233,0.0011395207267809405
"topic_14 (reviews, review, negative)",0.006735856482241442,0.00033428548029743374
"topic_16 (white, black, racism)",0.006670740957696086,0.0005974542143430796
"topic_15 (principal, new principal, rude)",0.005954929484716376,0.0006061820707482092
"topic_21 (principal, great principal, principal teachers)",0.0049491107801199145,0.0003176432787917731
"topic_12 (kindergarten, preschool, kindergarten year)",0.004640789699205028,0.0007157472396737558
"topic_7 (spanish, immersion, language)",0.0046137745142108,0.00030379942958902006
"topic_0 (bullying, bullied, bully)",0.004556956279973346,0.0003066232195153396
"topic_35 (covid, pandemic, covid 19)",0.004424720397521187,0.0004565840575945642
"topic_11 (charter, charter school, charter schools)",0.004409438564202284,0.00041894261251043517
"topic_2 (christian, christian school, christ)",0.003919333545318804,0.0005587130406984849
"topic_27 (iep, child iep, ieps)",0.003829366781950061,0.00042805597132949686
"topic_5 (pta, pto, active)",0.003512756835433595,0.0002820942444430063
"topic_33 (que, escuela, en)",0.001019082070760502,0.000302898532673949
"topic_32 (oak, oaks, oakwood)",0.0007242067456980416,0.0002650461045170675
"topic_20 (catholic, catholic school, catholic schools)",0.0004865258655227689,0.00018642082743135658
"topic_36 (creek, creek elementary, creekside)",0.00042844274322170197,0.00012449947918777152
"topic_22 (cca, ccs, cccs)",0.0,0.0
"topic_13 (daughter, son, reading)",0.0,0.0
"topic_3 (montessori, montessori school, montessori method)",0.0,0.0
