feature,importance,std
"topic_26 (ap, ap classes, honors)",0.09737535967088187,0.003334537789691807
"topic_25 (ib, ib program, baccalaureate)",0.06308282860628031,0.0025186598506901285
"topic_4 (great school, excellent school, school great)",0.045319814283960425,0.001022261600185429
"topic_1 (staff, great teachers, caring)",0.031766229724400866,0.0010090536953330778
"topic_8 (worst school, worst, horrible)",0.028242437148406553,0.0012599977823076088
"topic_17 (love school, love, school love)",0.02755715991555009,0.000612804100447572
"topic_9 (band, music, arts)",0.022850254173056674,0.0014899504144597795
"topic_37 (sizes, class sizes, small class)",0.021058389429404755,0.0011888027705044852
"topic_19 (scores, test, test scores)",0.015934488697756342,0.0007053194236921865
"topic_29 (special, special needs, special education)",0.013493546046518656,0.0007033609032591041
"topic_38 (stars, school stars, star)",0.013340573571373082,0.0008304387821117369
"topic_18 (special, special needs, special education)",0.012689868694351281,0.0005082459632842701
"topic_6 (middle school, middle, best middle)",0.011943824446847062,0.0005845071918867919
"topic_34 (coach, sports, coaches)",0.010699923201997497,0.0006068046708899113
"topic_28 (rating, ratings, rated)",0.010550131382002448,0.0006787321633484912
"topic_10 (10, 10 10, rate)",0.009067104042994878,0.0005403798324039495
"topic_24 (gifted, gifted program, gifted students)",0.00904248623300471,0.00124126006115844
"topic_23 (dress, dress code, code)",0.008732147359910547,0.0005241867002321841
"topic_30 (memories, remember, miss)",0.00864493771968602,0.00031079131760405166
"topic_14 (reviews, review, negative)",0.008568845220995791,0.00039145660447310844
"topic_31 (catholic, catholic school, catholic education)",0.008483205187552856,0.0010872539711032807
"topic_21 (principal, great principal, principal teachers)",0.0077025750440551264,0.0005101640750416522
"topic_16 (white, black, racism)",0.006667226363947376,0.0003210773575388753
"topic_27 (iep, child iep, ieps)",0.006314969273123305,0.0004984730091854147
"topic_7 (spanish, immersion, language)",0.0059141539081964956,0.0005389811103296071
"topic_15 (principal, new principal, rude)",0.005246673773898991,0.00045717081334167636
"topic_11 (charter, charter school, charter schools)",0.0049708025489972555,0.0002536640612209366
"topic_39 (military, military family, military families)",0.004965100737419214,0.0006134927845074785
"topic_35 (covid, pandemic, covid 19)",0.004319127684546798,0.0004132200214995225
"topic_12 (kindergarten, preschool, kindergarten year)",0.0039665719862135625,0.0005448035660017558
"topic_0 (bullying, bullied, bully)",0.0036692224287923846,0.0003433199726533741
"topic_2 (christian, christian school, christ)",0.0035279116454813852,0.0006390303162807365
"topic_5 (pta, pto, active)",0.003454535108964418,0.0002208857850060719
"topic_33 (que, escuela, en)",0.0010150150093225952,0.00020373111469581536
"topic_20 (catholic, catholic school, catholic schools)",0.0005604737375669577,0.0001282524011516019
"topic_36 (creek, creek elementary, creekside)",0.0005442798313378461,0.00015218002420865675
"topic_32 (oak, oaks, oakwood)",0.00053277665150816,0.0002544089727095618
"topic_22 (cca, ccs, cccs)",0.0,0.0
"topic_13 (daughter, son, reading)",0.0,0.0
"topic_3 (montessori, montessori school, montessori method)",0.0,0.0
