feature,importance,std
"topic_26 (ap, ap classes, honors)",0.07785766575514622,0.002811419901977398
"topic_25 (ib, ib program, baccalaureate)",0.05335218935336926,0.002221799895740203
"topic_4 (great school, excellent school, school great)",0.02506675161952786,0.0005278622824396969
"topic_181 (counselors, counselor, counseling)",0.024318762984102082,0.0013336060693996039
"topic_1 (staff, great teachers, caring)",0.015257804444963297,0.0004796494052489983
"topic_8 (worst school, worst, horrible)",0.0131204563571523,0.00038515085587435805
"topic_239 (small town, town school, small school)",0.012865266972195278,0.0006376506848215012
"topic_118 (drugs, drug, drug problem)",0.011007915646818,0.000722782386745852
"topic_9 (band, music, arts)",0.010882553545854079,0.0008921021763758075
"topic_275 (love school, school love, love)",0.010727864295749045,0.00031998101581732683
"topic_176 (great school, school principal, principal great)",0.010563075777331832,0.00038045423675727645
"topic_196 (ivy, ivy league, league)",0.010294738752728993,0.0007834373377285196
"topic_17 (love school, love, school love)",0.010281385487169458,0.0003545237870789212
"topic_51 (send, horrible, terrible)",0.010167660769362107,0.000696094387615187
"topic_62 (sports, athletic, sports program)",0.010094819816107926,0.0007136968654193886
"topic_190 (best school, school best, best)",0.009676992335119827,0.0003761829974935807
"topic_55 (send, send child, child school)",0.009300362466136181,0.00037905124965327514
"topic_37 (sizes, class sizes, small class)",0.00923796343748844,0.0006900967586389932
"topic_56 (office, rude, office staff)",0.009203243461569288,0.0006744735787672919
"topic_29 (special, special needs, special education)",0.008495110092037027,0.0005338356580951171
"topic_60 (prep, preparatory, college prep)",0.008235709930286328,0.00043205123645777824
"topic_144 (experience school, experience, great experience)",0.007848031294279356,0.00031026369349180204
"topic_161 (average, school average, average school)",0.007681661076123591,0.0005662529475111476
"topic_19 (scores, test, test scores)",0.007668180560661764,0.0004477749400456177
"topic_265 (6th, 6th grade, 7th)",0.007605183161178175,0.0006882293805502342
"topic_18 (special, special needs, special education)",0.007286556680711431,0.0003950734677365211
"topic_50 (magnet, magnet program, magnet school)",0.006938397159206888,0.00040435399733026285
"topic_117 (best school, best, school best)",0.00689227041298116,0.00037603958485237334
"topic_31 (catholic, catholic school, catholic education)",0.00683737130032055,0.0008733016819724876
"topic_158 (school awesome, awesome, cool)",0.006784417813466825,0.0004569807630106681
"topic_80 (private school, private, private schools)",0.006589948176500504,0.0003331555564449299
"topic_109 (experience, experience far, experience good)",0.00607404630406726,0.0002453144182513586
"topic_23 (dress, dress code, code)",0.005912220399409795,0.0003530529221622035
"topic_38 (stars, school stars, star)",0.005856192074671862,0.00036963992851260063
"topic_127 (county, best elementary, school county)",0.0058396197693376005,0.0002605179640054978
"topic_124 (new principal, new, principal)",0.0057665269534775245,0.0004329440895361914
"topic_24 (gifted, gifted program, gifted students)",0.005522949563063118,0.0008684431796095948
"topic_234 (san, diego, san diego)",0.005431282694529071,0.0006948346727643096
"topic_14 (reviews, review, negative)",0.005393845288925991,0.00044841603811988695
"topic_241 (stars, stars stars, star)",0.0050527268806016545,0.00029476034247329905
"topic_6 (middle school, middle, best middle)",0.004903576739132965,0.0002710386365652993
"topic_34 (coach, sports, coaches)",0.004696436844187546,0.0004191009545391397
"topic_52 (horrible, terrible, worst)",0.004578072093559049,0.0002571296001487595
"topic_142 (problems, complaints, problems school)",0.004552982973954412,0.0003583363312528251
"topic_94 (bhs, bms, bls)",0.004541260315186202,0.0008832356073072947
