Topic,Words,Frequency,Class
-1,"high, high school, students, school, teachers",24575,high_fb
0,"bullying, bullied, told, child, bully",1089,high_fb
1,"christian, christian school, god, religion, religious",95,high_fb
2,"staff, teachers, great teachers, great, students",599,high_fb
3,"mma, montessori, nfa, casa, bvnw",24,high_fb
4,"love school, best school, love, best, loved",495,high_fb
5,"pta, pths, involved, pto, active",69,high_fb
6,"great school, great, school great, excellent school, excellent",474,high_fb
7,"middle, middle school, high school, high, school",73,high_fb
8,"spanish, language, english, immersion, classes",128,high_fb
9,"worst, worst school, horrible, terrible, bad",488,high_fb
10,"catholic, catholic school, kellenberg, powers, catholic high",58,high_fb
11,"white, racism, black, racist, diversity",519,high_fb
12,"special, special needs, special education, needs, ed",219,high_fb
13,"10, 10 10, rate, school 10, rate school",325,high_fb
14,"charter, charter school, charter schools, schools, apex",44,high_fb
15,"involved sports, preschool, foster exposure, teams major, kindergarten mcdowell",7,high_fb
16,"band, music, arts, program, music program",496,high_fb
17,"principal, leadership, superintendent, assistant, principals",136,high_fb
18,"stars, star, school stars, zero stars, star school",180,high_fb
19,"son, daughter, tech, parent, club",27,high_fb
20,"reviews, review, negative, negative reviews, written",106,high_fb
21,"experience, great experience, good, far, experience good",116,high_fb
22,"small, sizes, class sizes, size, small class",60,high_fb
23,"covid, pandemic, virtual, online, mask",80,high_fb
24,"iep, child iep, special, ieps, child",120,high_fb
25,"ib, ib program, program, ap, international",580,high_fb
26,"dress, dress code, code, wear, uniforms",233,high_fb
27,"principal, great, staff, principal great, teachers",49,high_fb
28,"scores, test, test scores, state, tests",104,high_fb
29,"cchs, cca, ccs, graduated cchs, ccsd",40,high_fb
30,"gifted, gifted program, gifted students, program, bvn",44,high_fb
31,"ocean, ocean view, bay, gulfport, gulfport high",135,high_fb
32,"sports, football, coach, coaches, team",480,high_fb
33,"que, la, en, los, escuela",36,high_fb
34,"oak, oak park, oak high, red oak, oakmont",45,high_fb
35,"creek, creek high, sandy creek, sandy, creek elementary",58,high_fb
36,"khs, kr, went, 12, kelso hs",35,high_fb
37,"west, western, westside, west high, high",173,high_fb
38,"sports, high school, high, great, athletic",340,high_fb
39,"ap, ap classes, classes, courses, college",568,high_fb
40,"rating, 10, ratings, rated, greatschools",120,high_fb
41,"st mary, mary, st, marys, mary small",6,high_fb
42,"military, military family, school military, military families, schools",102,high_fb
43,"neosho, bellow average, pshs, bellow, neosho schools",3,high_fb
45,"oly, olathe, ogallala, tumwater, olathe east",8,high_fb
46,"administration, turnover, leadership, teachers, poor",70,high_fb
47,"adhd, child adhd, son adhd, 504, 504 plan",36,high_fb
48,"ghs, gchs, gsa, gcs, gw",135,high_fb
49,"tamarac small, tamarac, school send, send kids, small school",1,high_fb
50,"parking, bus, traffic, parking lot, drop",46,high_fb
51,"lake, lakewood, lakeview, lakes, high",92,high_fb
52,"magnet, magnet program, magnet school, program, magnet programs",107,high_fb
53,"stce, streator high, streator, stranahan, st",9,high_fb
54,"york, bronx, nyc, bard, yorktown",115,high_fb
55,"trinity, holy trinity, holy, trinity high, trinity school",13,high_fb
56,"lutheran, wisconsin lutheran, wisconsin, lutheran high, lutheran school",11,high_fb
57,"san, california, diego, san diego, ca",88,high_fb
58,"send, horrible, send kids, terrible, send child",48,high_fb
59,"vista, monta vista, monta, alta, vista high",34,high_fb
60,"paul, st paul, pembroke, pembroke academy, highland",2,high_fb
61,"valley, valley view, valley high, valley school, view",74,high_fb
62,"hillside, hillside high, hill, overhills, golden",22,high_fb
63,"whs, whittier, whhs, wshs, wfbhs",88,high_fb
64,"office, rude, office staff, staff rude, desk",36,high_fb
65,"french, mess schedules, bolsa, paris, french teacher",8,high_fb
66,"prep, college, college prep, preparatory, prep school",34,high_fb
67,"terrible, worst, horrible, life, awful",81,high_fb
68,"shen, mandarin, chinese, mingus, immersion",23,high_fb
69,"joseph, st joe, st joseph, joe, fewer",5,high_fb
70,"tj, tma, think tj, tj tj, experience tj",28,high_fb
71,"autism, autistic, autism spectrum, spectrum, victor",17,high_fb
72,"la, el, los, laguardia, la canada",81,high_fb
73,"bathrooms, bathroom, disgusting, restroom, food",94,high_fb
