rank,Topic,high_fb_share,low_fb_share,gap,label
1,15,0.35283740076448106,4.169443122322704,3.816605721558223,"christian, christian school, faith"
2,8,4.608938547486034,1.5421227986673014,3.0668157488187324,"ib, ib program, program"
3,17,0.38959129667744785,2.760590195145169,2.3709988984677213,"catholic, catholic school, catholic high"
4,22,0.24992649220817406,1.980009519276535,1.730083027068361,"st, st francis, francis"
5,4,4.6162893266686265,3.131841980009519,1.4844473466591075,"ap, classes, ap classes"
6,12,2.6609820640987945,1.6944312232270349,0.9665508408717596,"drugs, drug, problem"
7,49,0.09556012937371361,0.9995240361732507,0.9039639067995371,"trinity, holy, holy trinity"
8,1,7.0714495736548075,7.92003807710614,0.8485885034513325,"bullying, bullied, school"
9,0,8.012349309026758,8.83388862446454,0.8215393154377821,"great, great school, love"
10,7,3.660688032931491,2.874821513564969,0.7858665193665217,"special, iep, special needs"
11,63,0.09556012937371361,0.7044264635887673,0.6088663342150537,"jesuit, loyola, ignatius"
12,10,2.550720376359894,3.1413612565445024,0.5906408801846084,"son, daughter, school"
13,68,0.08820935019112026,0.6758686339838172,0.5876592837926969,"bishop, luers, dunne"
14,80,0.022052337547780066,0.5806758686339838,0.5586235310862038,"fcs, christian, fayetteville"
15,52,0.1984710379300206,0.752022846263684,0.5535518083336634,"charter, charter school, charter schools"
16,30,0.5513084386945016,1.1042360780580676,0.5529276393635659,"prep, stem, engineering"
17,29,1.0291090855630698,0.5140409328891005,0.5150681526739693,"ghs, gchs, graduated"
18,44,0.7277271390767421,0.26653974297953353,0.4611873960972086,"lhs, rhs, lhs great"
19,40,0.7424286974419289,0.28557829604950025,0.4568504013924286,"mhs, mrhs, mhs great"
20,69,0.5366068803293149,0.09519276534983341,0.4414141149794815,"tc, alexandria, williams"
21,18,1.5436636283446044,1.142313184198001,0.40135044414660337,"high, high school, school"
22,59,0.5733607762422817,0.18086625416468347,0.39249452207759816,"klein, chapel hill, chapel"
23,46,0.683622463981182,0.3046168491194669,0.3790056148617151,"san, california, high"
24,28,0.9776536312849162,0.5997144217039505,0.3779392095809657,"bhs, bchs, bhhs"
25,20,1.264334019406057,0.894811994288434,0.369522025117623,"north, northwood, students"
26,21,1.2275801234930903,0.866254164683484,0.3613259588096063,"west, western, west high"
27,70,0.19112025874742722,0.5330794859590671,0.34195922721163985,"small, small town, small school"
28,66,0.4998529844163481,0.1618277010947168,0.3380252833216313,"phs, ph, students"
29,51,0.6174654513378418,0.31413612565445026,0.30332932568339155,"chs, chs great, graduated chs"
30,58,0.5366068803293149,0.24750118990956688,0.28910569041974804,"texas, houston, austin"
31,35,0.7791825933548957,0.49500237981913375,0.28418021353576195,"rating, 10, rated"
32,54,0.3087327256689209,0.5901951451689672,0.2814624195000463,"cchs, cca, hcs"
33,3,5.013231402528668,4.740599714421704,0.2726316881069648,"sports, coach, football"
34,13,2.2640399882387534,1.9990480723465014,0.264991915892252,"10, 10 10, rate"
35,14,2.1464275213172597,1.8848167539267016,0.2616107673905581,"sports, great, great school"
36,56,0.30138194648632755,0.5521180390290338,0.25073609254270623,"vista, vegas, lago"
37,53,0.5439576595119082,0.3046168491194669,0.23934081039244132,"east, eastside, east high"
38,73,0.4116436342252279,0.19038553069966682,0.22125810352556105,"ahs, schools, great"
39,24,0.9850044104675095,0.7710613993336507,0.21394301113385883,"counselors, counselor, counseling"
40,77,0.3675389591296677,0.1618277010947168,0.2057112580349509,"franklin, towne, elsie"
41,19,1.2496324610408704,1.0471204188481675,0.2025120421927029,"worst, worst school, school worst"
42,79,0.35283740076448106,0.15230842455973345,0.2005289762047476,"shs, shs great, love shs"
43,37,0.48515142605116146,0.6853879105188007,0.2002364844676392,"creek, creek high, sandy"
44,48,0.580711555424875,0.38077106139933364,0.19994049402554132,"math, scores, test"
45,34,0.7571302558071156,0.5616373155640171,0.1954929402430985,"son, college, child"
46,43,0.6101146721552484,0.41884816753926707,0.19126650461598133,"coral, miami, coral park"
47,47,0.41899441340782123,0.5997144217039505,0.18072000829612928,"send, child, send child"
48,38,0.6468685680682152,0.46644455021418374,0.1804240178540315,"magnet, magnet program, program"
49,84,0.13966480446927373,0.31413612565445026,0.17447132118517653,"hamilton, tech center, tech"
50,6,3.829755954131138,3.6554021894336026,0.1743537646975355,"band, arts, music"
51,16,1.4848573948838577,1.6563541170871012,0.17149672220324352,"dress, code, dress code"
52,5,3.837106733313731,4.007615421227987,0.1705086879142561,"graduated, loved, experience"
53,50,0.4116436342252279,0.5806758686339838,0.16903223440875592,"send, send kids, horrible"
54,36,0.7203763598941487,0.5521180390290338,0.16825832086511494,"bathrooms, bathroom, food"
55,11,2.7197882975595413,2.8843407900999525,0.16455249254041115,"principal, administration, leadership"
