feature,r,abs_r,p_value,n
"topic_8 (ib, ib program, program)",0.14059375825314577,0.14059375825314577,2.0515704854245542e-53,11859
"topic_4 (ap, classes, ap classes)",0.1139806376880373,0.1139806376880373,1.3695013860591925e-35,11859
"topic_70 (small, small town, small school)",-0.1010163981899729,0.1010163981899729,2.811286076231253e-28,11859
"topic_46 (san, california, high)",0.07549650395601337,0.07549650395601337,1.8352985898412595e-16,11859
"topic_24 (counselors, counselor, counseling)",0.051337215120810464,0.051337215120810464,2.2231634570290124e-08,11859
"topic_15 (christian, christian school, faith)",-0.050555942551314625,0.050555942551314625,3.620369024534238e-08,11859
"topic_17 (catholic, catholic school, catholic high)",-0.04930939544712225,0.04930939544712225,7.767500552957002e-08,11859
"topic_40 (mhs, mrhs, mhs great)",0.043997577913549364,0.043997577913549364,1.6421577145275015e-06,11859
"topic_38 (magnet, magnet program, program)",0.04067681309125377,0.04067681309125377,9.378291191700168e-06,11859
"topic_73 (ahs, schools, great)",0.04053939187430779,0.04053939187430779,1.0052056506119677e-05,11859
"topic_6 (band, arts, music)",0.03896352940295764,0.03896352940295764,2.1932073767585623e-05,11859
"topic_11 (principal, administration, leadership)",-0.03722363390134658,0.03722363390134658,5.0221100884973246e-05,11859
"topic_29 (ghs, gchs, graduated)",0.03388716913864165,0.03388716913864165,0.0002234171501415093,11859
"topic_79 (shs, shs great, love shs)",0.03199324668969073,0.03199324668969073,0.0004929498614942241,11859
"topic_12 (drugs, drug, problem)",0.03194146129157998,0.03194146129157998,0.0005034476906340278,11859
"topic_0 (great, great school, love)",-0.03190566127536821,0.03190566127536821,0.00051082642934943,11859
"topic_51 (chs, chs great, graduated chs)",0.03189075262358022,0.03189075262358022,0.0005139288779545808,11859
"topic_28 (bhs, bchs, bhhs)",0.03103728120392266,0.03103728120392266,0.0007238355689139359,11859
"topic_22 (st, st francis, francis)",-0.029100269719859167,0.029100269719859167,0.0015279164716871451,11859
"topic_44 (lhs, rhs, lhs great)",0.028925359991386578,0.028925359991386578,0.001631191443532345,11859
"topic_26 (clark, high, high school)",0.028326832098539402,0.028326832098539402,0.0020351208164643775,11859
"topic_75 (experience, great experience, great)",0.027097851726678526,0.027097851726678526,0.0031658211594308133,11859
"topic_68 (bishop, luers, dunne)",-0.02599132660945552,0.02599132660945552,0.004645930316200905,11859
