feature,importance,std,direction,signed_importance,ci_low,ci_high
"topic_39 (ap, ap classes, classes)",0.07574296868693524,0.0027810386512881974,1.0,0.07574296868693524,0.07375353348191573,0.07773240389195475
"topic_25 (ib, ib program, program)",0.0482101639518233,0.00231979451549675,1.0,0.0482101639518233,0.04655068292468883,0.049869644978957774
"topic_6 (great school, great, school great)",0.035137710522192056,0.0010730438366403873,-1.0,-0.035137710522192056,-0.03590531984116098,-0.03437010120322313
"topic_4 (love school, love, best school)",0.029098743773789192,0.001065869127146106,-1.0,-0.029098743773789192,-0.029861220614772924,-0.02833626693280546
"topic_22 (small, sizes, class sizes)",0.02844535475575264,0.0015049336591444057,-1.0,-0.02844535475575264,-0.029521919441875894,-0.027368790069629386
"topic_38 (sports, great, basketball)",0.027724776671989183,0.0007723777726208474,1.0,0.027724776671989183,0.027172250898312968,0.028277302445665398
"topic_2 (staff, teachers, caring)",0.027488750524155538,0.0005964580865705537,-1.0,-0.027488750524155538,-0.027915430935516374,-0.0270620701127947
"topic_227 (counselors, counselor, counseling)",0.024555792982013193,0.0009193055837375659,1.0,0.024555792982013193,0.023898161383972882,0.025213424580053503
"topic_16 (band, music, arts)",0.020201709451888906,0.000697371142265091,1.0,0.020201709451888906,0.019702840189232598,0.020700578714545215
"topic_109 (send, send child, child school)",0.02019697469711671,0.0005382708831832825,-1.0,-0.02019697469711671,-0.020582030490694316,-0.019811918903539106
"topic_27 (principal, staff, principal teachers)",0.015598270488874499,0.0003150513698183643,-1.0,-0.015598270488874499,-0.015823644662015152,-0.015372896315733846
"topic_7 (middle, middle school, school)",0.015124947592285231,0.00029640421287609783,-1.0,-0.015124947592285231,-0.015336982392930186,-0.014912912791640276
"topic_17 (principal, new principal, leadership)",0.013440321696960212,0.00048737500306637334,-1.0,-0.013440321696960212,-0.01378896877120983,-0.013091674622710592
"topic_28 (scores, test, test scores)",0.013195740412961366,0.000625425651363726,-1.0,-0.013195740412961366,-0.013643142971846663,-0.012748337854076069
"topic_32 (sports, coach, football)",0.012851943975077561,0.0004071812778331215,-1.0,-0.012851943975077561,-0.013143223914164642,-0.01256066403599048
"topic_9 (worst, worst school, horrible)",0.012796689096080782,0.000402611343849723,-1.0,-0.012796689096080782,-0.013084699901332928,-0.012508678290828636
"topic_98 (private, private school, public)",0.012361652758261964,0.0007386576611182083,1.0,0.012361652758261964,0.01183324889921986,0.01289005661730407
"topic_64 (office, rude, office staff)",0.012022152701494992,0.0004125808482108551,1.0,0.012022152701494992,0.01172701014244883,0.012317295260541154
"topic_66 (prep, preparatory, college)",0.011806999663308792,0.00045611430991040846,-1.0,-0.011806999663308792,-0.012133284184823309,-0.011480715141794275
"topic_105 (drugs, drug, drug problem)",0.011368611285303332,0.0004386632938793714,1.0,0.011368611285303332,0.011054810468623132,0.011682412101983532
"topic_161 (county, best, best elementary)",0.011263696636534138,0.0004619696354560322,-1.0,-0.011263696636534138,-0.011594169805614526,-0.01093322346745375
"topic_225 (great school, principal, school principal)",0.011224245098719355,0.00030898771961386734,-1.0,-0.011224245098719355,-0.011445281597810723,-0.011003208599627987
"topic_67 (horrible, terrible, worst)",0.01100182175777944,0.0004418827083515162,-1.0,-0.01100182175777944,-0.011317925604835528,-0.010685717910723352
"topic_123 (principal, love school, love)",0.010883620664747096,0.0007968833574890399,-1.0,-0.010883620664747096,-0.011453676677794056,-0.010313564651700136
"topic_58 (send, horrible, terrible)",0.010824555535300373,0.00023734866923179953,-1.0,-0.010824555535300373,-0.010994344544962483,-0.010654766525638263
"topic_179 (experience school, experience, great experience)",0.010237375200426058,0.0003506676538712229,1.0,0.010237375200426058,0.00998652267252255,0.010488227728329566
"topic_200 (improvement, improve, changes)",0.009755587445775616,0.0007099508279451421,-1.0,-0.009755587445775616,-0.010263455673458313,-0.009247719218092918
"topic_36 (went, attended, 12)",0.009689674866792264,0.0006110788294194086,-1.0,-0.009689674866792264,-0.010126814327520708,-0.009252535406063819
"topic_222 (average, school average, average school)",0.00955705165745534,0.00041726710742391143,1.0,0.00955705165745534,0.009258556750517868,0.009855546564392813
"topic_52 (magnet, magnet program, magnet school)",0.008441010680569749,0.0006202879155338554,1.0,0.008441010680569749,0.007997283436491493,0.008884737924648004
"topic_10 (catholic, catholic school, catholic schools)",0.008112787861145398,0.0007721111796805105,-1.0,-0.008112787861145398,-0.008665122925720655,-0.007560452796570141
"topic_21 (experience, great experience, far)",0.0076678880211948795,0.0003773447491683748,1.0,0.0076678880211948795,0.007397951848938844,0.007937824193450915
"topic_193 (ivy, ivy league, league)",0.007615872431601134,0.0007349453360761229,1.0,0.007615872431601134,0.007090124209915158,0.00814162065328711
"topic_57 (san, ca, california)",0.007597771560844513,0.0006224562171802748,1.0,0.007597771560844513,0.007152493207209226,0.008043049914479801
"topic_198 (new principal, new, principal)",0.007102466719756595,0.00021942444317128517,-1.0,-0.007102466719756595,-0.007259433510521819,-0.00694549992899137
"topic_120 (high school, college, high)",0.0070849060790165955,0.000176619803058615,1.0,0.0070849060790165955,0.006958559883164315,0.007211252274868876
"topic_12 (special, special needs, needs)",0.006632716000964689,0.00026464586111813756,-1.0,-0.006632716000964689,-0.00682203224535678,-0.006443399756572598
