feature,importance,std,direction,signed_importance,ci_low,ci_high
"topic_4 (ap, classes, ap classes)",0.07563753996852492,0.0027739476125377876,1.0,0.07563753996852492,0.07365317738704615,0.07762190255000369
"topic_8 (ib, ib program, program)",0.05442643893029181,0.0022798782897177237,1.0,0.05442643893029181,0.05279551225092935,0.05605736560965427
"topic_0 (great, great school, love)",0.0460312111537494,0.0008905380919949286,-1.0,-0.0460312111537494,-0.04666826372790365,-0.04539415857959515
"topic_70 (small, small town, small school)",0.037186558483962365,0.001559217607677568,-1.0,-0.037186558483962365,-0.03830195556755313,-0.0360711614003716
"topic_18 (high, high school, school)",0.03557921928420375,0.0010898288509243398,1.0,0.03557921928420375,0.03479960268934969,0.03635883587905782
"topic_14 (sports, great, great school)",0.0334093038336308,0.0007289266872434097,1.0,0.0334093038336308,0.032887861093952024,0.03393074657330957
"topic_5 (graduated, loved, experience)",0.03216937957323399,0.0009030079756567073,1.0,0.03216937957323399,0.03152340658168542,0.03281535256478257
"topic_2 (staff, teachers, great)",0.03199795558234646,0.0006294538712531174,-1.0,-0.03199795558234646,-0.03244823975614847,-0.03154767140854445
"topic_6 (band, arts, music)",0.03150867080385824,0.0009826852946410681,1.0,0.03150867080385824,0.030805700091923564,0.032211641515792915
"topic_27 (district, school district, great)",0.024414555971414377,0.0009902002735253889,1.0,0.024414555971414377,0.023706209367436448,0.025122902575392306
"topic_47 (send, child, send child)",0.024020292843020707,0.0006307516605994076,-1.0,-0.024020292843020707,-0.024471505399394106,-0.02356908028664731
"topic_72 (teachers, care, students)",0.02099940396040728,0.0005275048324546713,-1.0,-0.02099940396040728,-0.021376758185245953,-0.02062204973556861
"topic_50 (send, send kids, horrible)",0.02051486355119734,0.000892069891004474,-1.0,-0.02051486355119734,-0.021153011908351654,-0.019876715194043024
"topic_1 (bullying, bullied, school)",0.018807131959513834,0.00047241907947111964,-1.0,-0.018807131959513834,-0.019145080210534154,-0.018469183708493514
"topic_75 (experience, great experience, great)",0.018604324767961256,0.0003820447956706674,1.0,0.018604324767961256,0.01833102638498134,0.018877623150941172
"topic_10 (son, daughter, school)",0.018571922786008544,0.0005644614810444095,1.0,0.018571922786008544,0.01816813136737902,0.018975714204638068
"topic_3 (sports, coach, football)",0.01792351249291634,0.0005108952988449589,-1.0,-0.01792351249291634,-0.018288984973182057,-0.01755804001265062
"topic_48 (math, scores, test)",0.017817131167006672,0.0006899136634323944,-1.0,-0.017817131167006672,-0.018310665670678752,-0.017323596663334592
"topic_7 (special, iep, special needs)",0.017233049734662186,0.0006858807970709579,1.0,0.017233049734662186,0.016742400169792688,0.017723699299531683
"topic_57 (horrible, terrible, bad)",0.01712124429293539,0.0003155087122992316,-1.0,-0.01712124429293539,-0.017346945629178132,-0.016895542956692645
"topic_24 (counselors, counselor, counseling)",0.01611851314341318,0.0005762792413703112,1.0,0.01611851314341318,0.015706267808321208,0.016530758478505155
"topic_46 (san, california, high)",0.015909860208559157,0.0010958693595581558,1.0,0.015909860208559157,0.015125922494138211,0.016693797922980102
"topic_19 (worst, worst school, school worst)",0.015060785798389088,0.00033456844050013006,-1.0,-0.015060785798389088,-0.015300121642826604,-0.014821449953951571
"topic_11 (principal, administration, leadership)",0.014249493605329455,0.0005731470220739547,-1.0,-0.014249493605329455,-0.01465949828571671,-0.0138394889249422
"topic_41 (school, don, just)",0.013750179049588019,0.00037678372461717914,-1.0,-0.013750179049588019,-0.014019713889056927,-0.013480644210119111
"topic_38 (magnet, magnet program, program)",0.013464715135358763,0.0008357526996171144,1.0,0.013464715135358763,0.012866853669989261,0.014062576600728264
"topic_12 (drugs, drug, problem)",0.012078132076437476,0.0005056873872006207,1.0,0.012078132076437476,0.011716385111732312,0.01243987904114264
"topic_31 (stars, star, star school)",0.011894207869960094,0.0003717160558000356,1.0,0.011894207869960094,0.011628298222376791,0.012160117517543397
"topic_17 (catholic, catholic school, catholic high)",0.01161815196087158,0.0008814019717994406,-1.0,-0.01161815196087158,-0.01224866894835005,-0.01098763497339311
"topic_58 (texas, houston, austin)",0.011085467612984424,0.00043414715456480373,1.0,0.011085467612984424,0.010774897447751303,0.011396037778217544
"topic_35 (rating, 10, rated)",0.011013813951808338,0.0002929442274269043,1.0,0.011013813951808338,0.010804254275649083,0.011223373627967593
"topic_45 (district, school district, taxes)",0.01053589162824664,0.0007738919448461765,1.0,0.01053589162824664,0.009982282681012181,0.0110895005754811
"topic_33 (reviews, review, school)",0.010439970847678804,0.00048113478317462165,-1.0,-0.010439970847678804,-0.010784153937533972,-0.010095787757823636
"topic_26 (clark, high, high school)",0.010013693269998392,0.0004064320413011712,1.0,0.010013693269998392,0.00972294930243866,0.010304437237558124
"topic_13 (10, 10 10, rate)",0.00954293164170077,0.00035169495036366423,1.0,0.00954293164170077,0.009291344230156897,0.009794519053244643
"topic_78 (rude, office, staff)",0.008875210350440487,0.00024334611501661076,1.0,0.008875210350440487,0.008701131026517922,0.009049289674363052
"topic_25 (child, told, daughter)",0.008663953893844455,0.00035833495991235514,-1.0,-0.008663953893844455,-0.008920291282074813,-0.008407616505614097
"topic_30 (prep, stem, engineering)",0.00847736841763358,0.00044045791545644595,-1.0,-0.00847736841763358,-0.008792453029252576,-0.008162283806014583
"topic_15 (christian, christian school, faith)",0.008295360562236953,0.0004991939728536768,-1.0,-0.008295360562236953,-0.008652462418145587,-0.007938258706328319
"topic_34 (son, college, child)",0.007969535509096615,0.0005520214652087385,1.0,0.007969535509096615,0.0075746431417057425,0.00836442787648749
"topic_42 (terrible, horrible horrible, horrible)",0.007865755101785232,0.0003540070119328315,-1.0,-0.007865755101785232,-0.00811899646253968,-0.007612513741030784
