topic_id,size,share,mean_words,keywords
0,19062,0.0308,130.0,"bullying, bullied, child, teacher, told, bully, son, problem, did, daughter"
1,15062,0.0244,96.5,"christian, christian school, god, christ, faith, church, bible, education, children, christian academy"
2,11878,0.0192,22.6,"staff, teachers, caring, great, students, great teachers, care, excellent, teachers staff, dedicated"
3,8670,0.014,119.6,"montessori, montessori school, children, learning, method, montessori method, child, montessori education, environment, years"
4,8079,0.0131,36.7,"love school, love, best school, best, great, school, loved, went, school love, great school"
5,7740,0.0125,94.0,"pta, pto, involved, active, parents, principal, great, events, parent, teachers"
6,7439,0.012,23.7,"great school, great, school great, excellent school, excellent, great teachers, teachers, school, wonderful, school teachers"
7,5543,0.009,72.2,"middle, middle school, school, best middle, teachers, great, students, middle schools, high, best"
8,5227,0.0085,107.0,"spanish, language, immersion, english, dual, program, dual language, bilingual, immersion program, spanish immersion"
9,4463,0.0072,33.1,"worst, worst school, horrible, terrible, horrible school, bad, awful, school worst, terrible school, school horrible"
10,4396,0.0071,114.5,"catholic, catholic school, catholic schools, catholic education, faith, school, education, schools, children, public"
11,4156,0.0067,103.5,"white, black, racism, diversity, racist, color, african, african american, race, american"
12,3802,0.0062,66.2,"special, special needs, needs, special education, special ed, ed, disabilities, disability, child special, child"
13,3673,0.0059,25.7,"10, 10 10, rate, school 10, rate school, rate experience, 10 school, rate 10, scale, scale 10"
14,3596,0.0058,113.9,"charter, charter school, charter schools, schools, school, public, year, child, students, parents"
15,3569,0.0058,59.6,"kindergarten, preschool, grade, daughter, year, kindergarten year, loves, son, 1st, started"
16,3379,0.0055,72.0,"band, music, arts, music program, program, art, dance, choir, band program, orchestra"
17,3371,0.0055,67.0,"principal, new principal, leadership, rude, does, new, parents, assistant, doesn, teachers"
18,2910,0.0047,53.7,"stars, star, school stars, school star, rate, star rating, star school, rating, stars school, zero stars"
19,2758,0.0045,204.1,"daughter, son, year, learning, grade, day, child, teacher, reading, school"
20,2316,0.0037,89.5,"reviews, review, negative, negative reviews, bad, posted, write, bad reviews, parents, written"
21,2282,0.0037,13.6,"experience, great experience, far, good, good experience, love, great, experience great, excellent, happy"
22,2020,0.0033,43.9,"small, sizes, class sizes, small class, class, size, small school, class size, attention, school small"
23,1979,0.0032,102.5,"covid, pandemic, virtual, online, covid 19, 19, learning, cyber, remote, mask"
24,1922,0.0031,102.7,"iep, child iep, special, needs, ieps, child, special needs, services, son iep, special education"
25,1918,0.0031,99.7,"ib, ib program, program, international, baccalaureate, international baccalaureate, ib curriculum, ib school, blair, school ib"
26,1868,0.003,113.4,"dress, dress code, code, wear, uniforms, uniform, wearing, shorts, strict, girls"
27,1825,0.003,37.9,"principal, staff, principal teachers, great principal, great, teachers, mr, principal staff, students, principal great"
28,1672,0.0027,67.1,"scores, test, test scores, score, state, testing, tests, low, standardized, students"
29,1631,0.0026,93.3,"cca, ccs, cccs, christian, cchs, children, love, christ, family, god"
30,1517,0.0025,110.7,"gifted, gifted program, program, gifted students, gifted children, school gifted, gifted child, child, gifted kids, gifted talented"
31,1471,0.0024,78.0,"bay, ocean, palm, bayshore, shore, beach, palms, sea, harbor, seas"
32,1436,0.0023,99.4,"sports, coach, football, coaches, team, players, play, athletic, basketball, athletes"
33,1432,0.0023,45.8,"que, la, escuela, en, los, muy, el, es, mi, esta"
34,1408,0.0023,87.7,"oak, oaks, oakwood, oak grove, oak hill, grove, oak park, live oak, white oak, oakridge"
35,1386,0.0022,75.9,"creek, creek elementary, creekside, creek great, spring creek, bear creek, elementary, fox creek, staff, bear"
36,1369,0.0022,58.9,"went, attended, 12, great, k4, school, k5, teachers, grade, love"
37,1309,0.0021,81.2,"west, westside, western, westview, west wing, westlake, wing, west view, high, students"
38,1299,0.0021,52.8,"sports, great, basketball, athletic, high school, high, team, programs, sports program, football"
39,1277,0.0021,96.3,"ap, ap classes, classes, courses, college, honors, ap courses, high, students, high school"
40,1273,0.0021,66.4,"rating, ratings, 10, rated, low, school rating, rating school, greatschools, scores, schools"
41,1194,0.0019,86.4,"mary, st mary, st, mary school, saint mary, catholic, marys, st marys, saint, children"
42,1180,0.0019,108.5,"military, military family, military families, school military, family, schools, school, children, kids, letort"
43,1155,0.0019,80.1,"ps, ps 37, 37, love ps, school ps, pta, children, principal, parents, community"
44,1155,0.0019,62.5,"pre, pre program, prek, program, started pre, daughter, son, son pre, attended pre, daughter pre"
45,1150,0.0019,84.3,"olph, olv, ola, olg, olmc, oll, olgc, catholic, olm, ols"
46,1102,0.0018,63.4,"administration, turnover, leadership, teachers, left, teacher turnover, leaving, poor, turnover rate, teachers left"
47,1099,0.0018,111.2,"adhd, son adhd, son, diagnosed, child adhd, child, diagnosed adhd, medication, help, add"
48,1067,0.0017,84.5,"gcs, ghs, gms, gva, gsa, gw, gds, gla, gls, gwa"
49,1055,0.0017,122.6,"waldorf, waldorf school, waldorf education, education, waldorf schools, children, steiner, curriculum, community, learning"
50,1050,0.0017,110.9,"parking, bus, traffic, drop, pick, parking lot, car, cars, line, park"
51,1036,0.0017,78.9,"lake, lakeview, lakewood, lakes, lakeshore, lakehill, elementary, great, staff, students"
