topic_id,size,share,mean_words,keywords
0,2020,0.0292,27.5,"great, great school, love, school great, school, love school, teachers, amazing, nice, best"
1,1795,0.0259,96.0,"bullying, bullied, school, child, students, bullies, teachers, bully, kids, don"
2,1313,0.019,23.3,"staff, teachers, great, students, excellent, caring, great teachers, care, help, faculty"
3,1180,0.017,100.8,"sports, coach, football, coaches, team, play, players, school, athletic, kids"
4,957,0.0138,96.7,"ap, classes, ap classes, courses, honors, college, ap courses, students, school, teachers"
5,943,0.0136,45.4,"graduated, loved, experience, great, years, college, went, school, life, high"
6,906,0.0131,80.4,"band, arts, music, program, art, school, great, music program, marching, band program"
7,800,0.0116,96.9,"special, iep, special needs, needs, child, special education, disability, ed, disabilities, special ed"
8,789,0.0114,107.3,"ib, ib program, program, students, school, classes, ap, international, teachers, diploma"
10,677,0.0098,51.8,"son, daughter, school, great, happy, year, child, graduated, children, teachers"
9,677,0.0098,92.8,"white, racism, diversity, racist, black, school, students, racial, race, color"
11,673,0.0097,52.8,"principal, administration, leadership, teachers, poor, students, new, staff, school, parents"
12,540,0.0078,98.9,"drugs, drug, problem, school, drug problem, kids, gangs, students, drug use, use"
13,518,0.0075,22.9,"10, 10 10, rate, school 10, rate school, rate experience, experience, rate 10, 10 rate, school"
14,490,0.0071,39.7,"sports, great, great school, school, team, school great, athletic, good, programs, program"
15,486,0.007,103.4,"christian, christian school, faith, school, children, christ, child, bible, church, education"
16,376,0.0054,122.7,"dress, code, dress code, wear, wearing, school, students, pants, shorts, girls"
17,343,0.005,111.8,"catholic, catholic school, catholic high, school, faith, money, education, students, public, high"
18,330,0.0048,46.5,"high, high school, school, best high, best, great, students, teachers, school great, excellent"
19,280,0.004,30.2,"worst, worst school, school worst, school, terrible, horrible, terrible school, horrible school, far worst, ve"
20,266,0.0038,87.8,"north, northwood, students, high, northview, school, north high, north point, north springs, great"
21,258,0.0037,94.5,"west, western, west high, westside, westview, high, school, students, west campus, high school"
22,242,0.0035,85.9,"st, st francis, francis, saint, st john, john, joseph, mary, school, college"
23,235,0.0034,90.2,"south, south lake, high, south high, school, students, great, teachers, lake, high school"
24,215,0.0031,88.9,"counselors, counselor, counseling, help, students, teachers, college, don, good, guidance"
25,214,0.0031,218.6,"child, told, daughter, teacher, son, school, class, year, time, office"
26,200,0.0029,70.8,"clark, high, high school, school, great, belleville, coatesville, roseville, shrewsbury, teachers"
27,199,0.0029,44.9,"district, school district, great, community, staff, great district, district great, love, caring, kids"
28,196,0.0028,80.2,"bhs, bchs, bhhs, sbhs, students, bhs great, school, college, great, student"
29,194,0.0028,84.2,"ghs, gchs, graduated, students, teachers, school, ghs great, great, years, gmhs"
30,191,0.0028,67.3,"prep, stem, engineering, college prep, college, program, stem program, gonzaga, prep school, school"
31,188,0.0027,43.8,"stars, star, star school, zero stars, school stars, zero, rate, school star, school, rate school"
32,176,0.0025,121.5,"spanish, language, teacher, spanish teacher, class, teachers, foreign, spanish river, english, school"
33,173,0.0025,77.0,"reviews, review, school, negative, review school, bad, bad reviews, written, negative reviews, good reviews"
34,162,0.0023,188.3,"son, college, child, school, daughter, classes, high, kids, year, student"
35,158,0.0023,62.7,"rating, 10, rated, ratings, greatschools, org, greatschools org, school, schools, school rating"
36,156,0.0023,70.5,"bathrooms, bathroom, food, disgusting, roaches, dirty, clean, school, use, students"
37,138,0.002,86.7,"creek, creek high, sandy, sandy creek, boulder creek, school, boulder, deer creek, fox creek, lakewood"
38,137,0.002,86.6,"magnet, magnet program, program, magnet school, middleton, magnet programs, magnets, school, students, magnet students"
39,134,0.0019,70.1,"hhs, whs, students, college, great, school, experience, graduate, wbhs, community"
40,131,0.0019,73.5,"mhs, mrhs, mhs great, great, students, teachers, school, year, good, people"
41,129,0.0019,200.7,"school, don, just, like, teachers, students, teacher, feel, year, class"
42,128,0.0018,11.3,"terrible, horrible horrible, horrible, worst, bad bad, bad, worst worst, life, experience, worst experience"
43,127,0.0018,80.2,"coral, miami, coral park, florida, park, reef, coral reef, dade, miami coral, senior high"
44,127,0.0018,60.2,"lhs, rhs, lhs great, students, college, great, lmhs, student, school, staff"
45,125,0.0018,110.7,"district, school district, taxes, superintendent, board, pay, school, money, tax, schools"
46,125,0.0018,67.4,"san, california, high, best, diego, san diego, high school, school, tam, school san"
47,120,0.0017,57.4,"send, child, send child, child school, school, terrible, school send, kid, sending, want"
48,119,0.0017,69.1,"math, scores, test, test scores, students, tests, teacher, geometry, teachers, teaching"
49,118,0.0017,95.3,"trinity, holy, holy trinity, holy family, family, ht, family high, holy cross, daughter, school holy"
51,117,0.0017,77.2,"chs, chs great, graduated chs, students, great, experience chs, kids, teachers, school, staff"
50,117,0.0017,15.2,"send, send kids, horrible, don send, send children, children, send child, terrible, kids, child"
52,106,0.0015,93.9,"charter, charter school, charter schools, charter high, school, raleigh charter, csat, raleigh, children, schools"
53,106,0.0015,97.5,"east, eastside, east high, eastern, egr, school, schools, high, teachers, students"
54,104,0.0015,82.8,"cchs, cca, hcs, cahs, ccsd, school, teachers, graduated cchs, students, kids"
55,103,0.0015,53.1,"york, new york, nyc, best, staten, staten island, ny, new, nj, island"
56,99,0.0014,85.6,"vista, vegas, lago, del lago, vista del, las vegas, palo, las, del, verde"
57,99,0.0014,23.0,"horrible, terrible, bad, hi hi, horrible teachers, hi, teachers, terrible teachers, absolutely, awful"
58,99,0.0014,57.8,"texas, houston, austin, school texas, best, high, paso, el paso, akins, school"
59,97,0.0014,101.4,"klein, chapel hill, chapel, hill, fossil, klein oak, oak, fossil ridge, hill high, ridge"
61,95,0.0014,82.6,"centennial, perry, hill murray, murray, hill, centennial high, schools, school, high, frisco"
60,95,0.0014,91.4,"central, central high, centerville, high school, high, school, washington township, north central, schools, roman"
62,89,0.0013,73.5,"valley, valley high, valley great, school, high, valley view, high school, best, great, teachers"
63,87,0.0013,102.1,"jesuit, loyola, ignatius, men, son, jesuit high, academics, best, catholic, st ignatius"
64,87,0.0013,102.9,"covid, mask, masks, pandemic, covid 19, school, 19, teachers, covid school, students"
65,87,0.0013,61.9,"bay, bay high, bay view, seaside, beach, seaside high, high, view, high school, bayside"
66,85,0.0012,74.8,"phs, ph, students, experience phs, student, phs school, graduated phs, school, student phs, administration"
