feature,importance,std,direction,signed_importance,ci_low,ci_high
students_9_to_12,0.6572750652512832,0.009719644714538773,1.0,0.6572750652512832,0.6503220502809848,0.6642280802215816
ethnicity-White,0.23332969160336567,0.003479362892304577,-1.0,-0.23332969160336567,-0.23581867787681532,-0.23084070532991602
percent-free-and-reduced-price-lunch,0.1302806369301937,0.0011177033279998463,-1.0,-0.1302806369301937,-0.13108019372472454,-0.12948108013566287
ethnicity-Black,0.11511051475024421,0.001992432736373483,-1.0,-0.11511051475024421,-0.11653581526792622,-0.1136852142325622
ethnicity-Asian or Pacific Islander,0.0820762717059975,0.0017152530117732208,1.0,0.0820762717059975,0.08084925361850823,0.08330328979348678
ethnicity-Hispanic,0.07150467275206508,0.001075340330890352,1.0,0.07150467275206508,0.07073542062007489,0.07227392488405528
percent-students-with-limited-english-proficiency,0.07000293732760413,0.00156605672289862,1.0,0.07000293732760413,0.06888264783570913,0.07112322681949912
student-counselor-ratio,0.06867603847573645,0.0015363952198730066,1.0,0.06867603847573645,0.06757696754487282,0.06977510940660007
student-teacher-ratio,0.06548440243718781,0.0015055320173019836,1.0,0.06548440243718781,0.06440740971142428,0.06656139516295134
ethnicity-Two or more races,0.06381571886098678,0.0012969623968238182,1.0,0.06381571886098678,0.06288792785361166,0.06474350986836189
mean_words_per_review,0.04499311516604929,0.0009770549743388544,1.0,0.04499311516604929,0.04429417214262573,0.045692058189472855
ethnicity-Native American,0.04060946673805306,0.0010360873921531459,-1.0,-0.04060946673805306,-0.041350639009237265,-0.039868294466868855
n_words,0.0389226456699462,0.0005806326839393432,1.0,0.0389226456699462,0.03850728606964765,0.03933800527024475
percentage-female,0.03561387207386461,0.000846719056949699,1.0,0.03561387207386461,0.0350081657490437,0.03621957839868551
percentage-of-full-time-teachers-who-are-certified,0.0354852769581845,0.001042409591521884,1.0,0.0354852769581845,0.034739582058020836,0.036230971858348164
percentage-male,0.03171784639870958,0.0007463176535805875,1.0,0.03171784639870958,0.031183962911159692,0.03225172988625947
n_reviews,0.023699611552633115,0.0006276155262262573,1.0,0.023699611552633115,0.023250642451641657,0.024148580653624574
ethnicity-Native Hawaiian or Other Pacific Islander,0.02112316798622056,0.0006592987686566963,1.0,0.02112316798622056,0.02065153405895238,0.021594801913488736
