feature,importance,std
students_9_to_12,0.5649348509134973,0.011061067742558175
ethnicity-White,0.18086629225991224,0.005178484807318974
percent-free-and-reduced-price-lunch,0.07807502799825165,0.0008150006129492908
ethnicity-Black,0.06512226122952744,0.0019172654445698911
ethnicity-Asian or Pacific Islander,0.06063429628806425,0.0017658807443205447
percent-students-with-limited-english-proficiency,0.04066945301775513,0.0008971661269974257
student-teacher-ratio,0.035086109228958384,0.0012826578453533671
student-counselor-ratio,0.03433998733350767,0.0008551411957512813
ethnicity-Two or more races,0.026142465712162655,0.0008159295102248187
ethnicity-Hispanic,0.020033716714579163,0.0009186699381494103
ethnicity-Native American,0.016505523860713422,0.000277641316329349
percentage-male,0.015501291636242143,0.0013436503003353482
n_reviews,0.015117941089164177,0.0006086895856684518
percentage-female,0.014498812846382592,0.0007156814892370292
percentage-of-full-time-teachers-who-are-certified,0.011427598859465848,0.00041093583590199695
mean_words_per_review,0.010365537141025172,0.000644203056757001
ethnicity-Native Hawaiian or Other Pacific Islander,0.008932520950742706,0.0003256802940514573
n_words,0.006945583828919122,0.0003371272833764129
